0.9310344828 0.0041672411 0.0041671970 0.0002802276
0.9620689655 0.0041611656 0.0041611215 0.0002802276
0.9931034483 0.0041561247 0.0041560807 0.0002795922
0.9000000000 0.0041745220 0.0041744779 0.0002802276
1.0241379310 0.0041519743 0.0041519305 0.0002783213
1.0551724138 0.0041485922 0.0041485486 0.0002770504
1.0862068966 0.0041458730 0.0041458297 0.0002751441
1.1172413793 0.0041437251 0.0041436821 0.0002732378
1.1282500000 0.0041430850 0.0041430422 0.0002719669
1.1482758621 0.0041420682 0.0041420256 0.0002706960
1.1793103448 0.0041408309 0.0041407887 0.0002681543
1.2103448276 0.0041399494 0.0041399076 0.0002656126
1.2413793103 0.0041393665 0.0041393251 0.0002630708
1.2724137931 0.0041390307 0.0041389897 0.0002605291
1.3034482759 0.0041388955 0.0041388550 0.0002573519
1.3344827586 0.0041389199 0.0041388797 0.0002554456
1.3655172414 0.0041390670 0.0041390273 0.0002522684
1.3965517241 0.0041393047 0.0041392654 0.0002497266
1.4275862069 0.0041396049 0.0041395661 0.0002465495
1.4586206897 0.0041399429 0.0041399044 0.0002446431
1.4896551724 0.0041402960 0.0041402579 0.0002421014
1.5206896552 0.0041406422 0.0041406042 0.0002414660
1.5517241379 0.0041409562 0.0041409179 0.0002433723
1.5827586207 0.0041412036 0.0041411644 0.0002490912
1.6137931034 0.0041413308 0.0041412891 0.0002649771
1.6448275862 0.0041412477 0.0041412008 0.0002980198
1.6758620690 0.0041408106 0.0041407531 0.0003653761
1.7068965517 0.0041398235 0.0041397469 0.0004867445
1.7379310345 0.0041381119 0.0041380052 0.0006780110
1.7689655172 0.0041356923 0.0041355461 0.0009290085
1.8000000000 0.0041329042 0.0041327168 0.0011908084
