           r          +ve          -ve           mu
0.9310344828 0.0038942591 0.0038942158 0.0002751441
0.9620689655 0.0038884940 0.0038884507 0.0002751441
0.9931034483 0.0038837143 0.0038836710 0.0002751441
0.9000000000 0.0039011723 0.0039011289 0.0002757795
1.0241379310 0.0038797829 0.0038797397 0.0002745087
1.0551724138 0.0038765832 0.0038765401 0.0002738732
1.0862068966 0.0038740151 0.0038739722 0.0002726024
1.1172413793 0.0038719914 0.0038719487 0.0002713315
1.1282500000 0.0038713896 0.0038713470 0.0002706960
1.1482758621 0.0038704354 0.0038703930 0.0002694252
1.1793103448 0.0038692793 0.0038692371 0.0002681543
1.2103448276 0.0038684623 0.0038684203 0.0002668834
1.2413793103 0.0038679298 0.0038678881 0.0002649771
1.2724137931 0.0038676326 0.0038675912 0.0002630708
1.3034482759 0.0038675267 0.0038674856 0.0002611645
1.3344827586 0.0038675728 0.0038675319 0.0002598936
1.3655172414 0.0038677358 0.0038676952 0.0002579873
1.3965517241 0.0038679853 0.0038679450 0.0002560810
1.4275862069 0.0038682945 0.0038682545 0.0002541747
1.4586206897 0.0038686400 0.0038686003 0.0002522684
1.4896551724 0.0038690007 0.0038689611 0.0002516329
1.5206896552 0.0038693558 0.0038693163 0.0002509975
1.5517241379 0.0038696820 0.0038696422 0.0002529038
1.5827586207 0.0038699477 0.0038699070 0.0002586227
1.6137931034 0.0038701029 0.0038700598 0.0002738732
1.6448275862 0.0038700637 0.0038700157 0.0003050096
1.6758620690 0.0038696950 0.0038696373 0.0003666470
1.7068965517 0.0038688116 0.0038687362 0.0004791193
1.7379310345 0.0038672468 0.0038671433 0.0006576770
1.7689655172 0.0038650127 0.0038648723 0.0008921532
1.8000000000 0.0038624269 0.0038622480 0.0011367963
